Human	Mouse
Q5T280	Q3UHX9
Q13601	Q8BGA5
Q99469	P97306
Q86WG3	Q8BHE3
Q8NI99	Q8R0Z6
Q13641	Q9Z0L0
Q92847	Q99P50
Q9BRK3	Q9DBV4
A6NCI8	Q3V0A6
A6NCI8	E9PVP9
A6NCI8	Q8CDK1
A6NCI8	F6T1R4
A6NCI8	E9Q844
P08100	P15409
P11309	P06803
P50052	P35374
Q9NYD6	P31257
Q6UXD7	Q8CE47
Q15035	Q924Z5
Q8TB40	Q8VD66
Q9P2B7	Q6ZPR1
Q96G97	Q9Z2E9
C9JTQ0	A2ARS0
O15382	O35855
A6NHT5	P42581
O75469	O54915
O95837	P30677
P07339	P18242
P28289	P49813
Q15768	O35393
P52951	P48031
Q6ZU52	D3Z623
P61964	P61965
Q6NZI2	O54724
P19474	Q62191
Q96NG5	E9Q1J0
Q86YJ5	Q3TZ87
Q5HYJ3	Q80XP8
O75525	Q9R226
Q96MR9	Q3URI6
Q8IV20	Q8BZT9
Q14558	Q9D0M1
Q86Y37	Q8R0X2
Q96MF2	Q8BZ71
Q92519	Q8K4K3
Q5VWX1	Q9WU01
Q9NPF8	Q8R2V5
P19087	P50149
Q8N6W0	D3Z4T1
P57682	Q60980
Q6YN16	Q2TPA8
Q7Z3Y9	Q3TRJ4
Q9BVC3	Q14AI0
Q8N3J5	Q8BXN7
Q8TCU3	Q91WN3
Q9BYV2	Q9ERP3
Q9NYT0	Q9WV52
O60928	P86046
P62136	P62137
O94768	Q8BG48
Q15633	P97473
Q13421	Q61468
Q68CQ7	Q6NSU3
Q86YH2	Q505F4
Q13454	Q8BTV1
Q96NK8	P48986
Q5JRV8	Q8BHW5
Q5VXJ0	Q8BM14
Q96CX6	Q3UGP9
P53990	Q9CX00
Q8IYD2	Q91XA8
Q92561	Q8K0S0
Q9BPY3	Q8C569
Q7Z6B0	Q9D8L5
Q9BV87	Q8K158
Q969K3	Q99KR6
Q8TCW9	Q9JKL1
Q9NXR5	Q99LW0
P49753	Q9QYR9
P49753	O55137
Q86TX2	Q9QYR9
Q86TX2	O55137
P36952	P70124
O75881	Q60991
Q86YH6	Q33DR3
Q6A162	Q6IFX3
Q495N2	Q811P0
P61647	Q8K4T1
Q8IYW5	Q80XJ2
P85298	Q9CXP4
Q96QH2	Q6BCL1
Q9H6Y2	Q9CX97
Q9Y371	Q9JK48
Q9Y5B8	Q9QXL8
A1Z1Q3	Q3UYG8
P53367	G5E8V9
A4D263	Q5NC83
Q02127	O35435
P48729	Q8BK63
Q6A163	Q6IFX4
Q9HAV0	P29387
O43309	Q9Z1D7
Q12794	Q91ZJ9
Q8IZT8	Q8BSL4
Q8IYG6	Q8K375
Q8IZV5	Q8VCH7
Q9UL52	Q5S248
Q13510	Q9WV54
Q9BW04	Q8BI29
Q6IBS0	Q9Z0P5
Q9C086	Q99PT3
Q9UBR1	Q8VC97
Q9UJV8	Q8R4E6
A6NKF2	A6PWV5
A8MTJ3	Q3V3I2
P32247	O54798
P07093	Q07235
A6NIM6	Q8CBB2
P32929	Q8VCN5
P11177	Q9D051
Q68CR7	Q8K0B3
Q9HC36	Q5ND52
P56589	Q9QXY9
Q9UHF4	Q6PHB0
Q8WTS1	Q9DBL9
Q9UPC5	Q9R1K6
P55771	P47242
P62140	P62141
P16520	Q61011
Q6AI12	Q5SUE8
Q9NVD3	P58467
Q6IA17	Q9JLZ8
P27352	P52787
P41231	P35383
Q07352	P23950
Q96C92	A2AIW0
Q0ZLH3	Q0ZLH2
Q13478	Q61098
O15372	Q91WK2
O15442	Q91ZG2
Q3SXY8	Q640N2
P46093	Q8BUD0
Q0D2K0	Q8BZF2
Q7Z3B1	Q80Z24
Q8N9S9	Q6P8Y7
Q8WWR8	Q8BZL1
Q8NBK3	Q8R0F3
Q96GN5	Q922M5
Q9H6B4	Q8R373
Q9NQ55	Q91YU8
Q96T92	Q9JMC2
Q96PU8	Q9QYS9
Q9Y5K1	Q9WTK8
P28358	P28359
P35227	P23798
Q9NNX1	O08970
Q9Y5Z6	O54904
Q8ND76	Q8BGU5
P47901	Q9WU02
O14771	E9QAW0
O75900	O88676
P04070	P33587
P13861	P12367
P46734	O09110
Q5EB52	Q07646
Q8TB36	O88741
Q6ZSG2	Q3USH1
Q53LP3	Q8C0J6
Q8N8V4	Q8K3X6
Q9BXJ8	Q8C1E7
Q9NPH0	Q8BP40
Q8N8Q9	Q9JJC8
Q86YM7	Q9Z2Y3
I6L893	Q9Z0L3
Q02509	Q9Z0L3
P49366	Q3TXU5
P15907	Q64685
P85299	Q812A5
Q92844	P70347
Q3MIR4	Q8BHG3
Q70YC5	Q8BG89
Q8N165	Q8QZR7
Q8N371	Q9CXT6
Q9BZD4	Q99P69
Q9BTF0	Q9CZB3
Q9UH03	Q9Z1S5
P21452	P30549
P31276	P50207
Q86TI4	D3Z757
P80365	P51661
P28221	Q61224
Q6DWJ6	Q80UC8
O43684	Q9WVA3
Q9NP62	P70348
Q8NFU5	Q7TT16
Q9H9Y2	Q7TND5
Q9H9V9	Q8BFT6
Q6ZW33	Q9D5U9
Q96GM1	Q8VCY8
O95076	O70137
P54725	P54726
Q13064	Q60764
Q5T2R2	Q33DR2
Q53EZ4	Q8BT07
Q6PJ69	Q8BFW4
Q92185	Q64687
Q8WZ73	Q6ZQM0
Q9NY27	Q0VGB7
Q6ZU15	Q9DA97
Q9NVF7	Q8BIG4
Q86X95	Q9DA19
Q6FHJ7	Q9Z1N6
Q9NQS5	Q8CIM5
Q9H777	Q8VEB6
Q9BYG5	Q9JK83
Q9H7C4	Q9EPM5
Q8IXS6	Q8BR92
B1ALY0	Q8BR92
P54257	O35668
Q8TDV0	Q7TSN6
Q99633	Q8BM39
Q9NZ20	Q8BZT7
Q9Y5X5	Q924H0
P78334	A2AMW3
O75563	Q3UND0
O43529	Q6PGK7
A6NNE9	Q8CBH7
O95149	Q80W37
Q6PKX4	Q2MHE5
Q15319	Q63955
O76064	Q8VC56
P35236	Q8BUM3
Q0P6D2	Q8BQT2
Q8WW24	Q149S1
Q8IUS5	Q6IE26
Q8N987	Q8BG18
P25685	Q9QYJ3
Q13347	Q9QZD9
Q9NQQ7	Q8VCX2
Q9H4B8	Q9DA79
Q9P2W7	Q9CW73
P04000	O35599
P04001	O35599
O15335	O55226
P50552	P70460
P46095	Q6YNI2
Q92905	O35864
Q13515	Q6NVD9
Q96PF2	O54863
Q8IXR5	Q24JP3
O75616	Q9CZU4
Q8NE86	Q3UMR5
Q08AI8	Q8CEZ4
Q12792	Q91YR1
Q9NS85	P61215
Q8IXR9	Q8CCC3
Q9H1C3	Q640P4
Q9ULV8	Q80XL1
Q99496	Q9CQJ4
Q9H6Y7	Q91XF4
Q9BVC4	Q9DCJ1
Q96SF2	Q80YT3
A6NM43	Q80YT3
Q12815	B7ZNG4
Q8N0U7	A2AGB2
Q13686	P0CB42
P55263	P55264
P78310	P97792
Q969T3	Q3UR97
Q8N8Y2	Q80SY3
Q9GZP0	Q925I7
Q9UKF7	Q8K4R4
Q9NZL4	Q99P31
Q9UJM8	Q9WU19
Q0VAA2	F6QBN8
P25116	P30558
Q6P093	B2RWD2
P35713	P43680
O14681	Q61070
O14556	Q64467
P98172	P52795
P24864	Q61457
P35659	Q7TNV0
Q15853	Q64705
Q6PJ21	Q571F5
Q86X40	Q3TX51
Q8N335	Q3ULJ0
P53365	Q8K221
O43159	Q9DB85
Q6W5P4	Q8BZP8
Q9GZM5	Q3UDR8
P51570	Q9R0N0
Q96L12	Q9D9Q6
Q9H2F3	Q9EQC1
Q9H2F3	P24815
P17707	P31154
Q15270	G3UXB3
P55085	P55086
P50613	Q03147
A0AVI4	Q8K304
Q16670	Q5RJ54
Q86W42	Q5U4D9
Q7L211	Q80UX8
P55735	Q9D1M0
P51398	Q9ER88
Q9Y5W3	Q60843
Q9NWS6	Q91YN1
Q96SE0	Q9QZC8
Q9P2T1	Q99L27
Q9P2T1	P24547
P31391	P49660
P36873	P63087
Q14722	P63143
Q9C0C6	Q8R0W1
Q8IZL9	Q9JHU3
Q8TDN6	Q9DCA5
Q9BWW7	Q99M85
Q9BY21	Q99MT7
Q9BZV2	Q99PL8
P14598	Q09014
A6NI72	Q09014
A8MVU1	Q09014
P12524	P10166
P23942	P15499
P42701	Q60837
Q16621	Q07279
Q9BZG2	D3YZU0
Q9BWG4	Q3U4B1
Q12951	Q922I5
Q8WTX9	Q8R0N9
Q9H920	Q8R1Z9
Q9Y663	Q8BKN6
Q9C075	Q99PS0
Q9H819	Q9CZJ9
Q9NTX7	Q9CZW6
B2RNG4	Q99PP6
Q9BYJ4	Q99PP6
Q5T089	A2RTS7
Q8IU89	E9PVY9
O95433	Q8BK64
O00154	Q91V12
Q7LG56	Q6PEE3
Q15434	Q8VC70
Q15050	Q9CYH6
Q8ND90	Q8C1C8
Q3ZCQ8	Q9D880
Q53GI3	Q9Z1D9
Q9H4A9	Q8C255
Q96DH6	Q920Q6
Q9NR21	Q8CFF0
Q9NWM3	Q8R3V6
Q8N5Z0	Q9WVM8
Q9HB07	Q9JK81
Q9UDY4	Q9D832
O60906	O70572
P14316	P23906
P21695	P13707
P08709	P70375
P35575	P35576
P32248	P47774
P22083	Q11127
P78324	P97797
P29274	Q60613
O00358	Q8R2I0
Q5EBM0	Q3U5Q7
Q4ZJI4	Q8C0X2
Q8N9M1	Q8R3Y5
Q9HBI1	Q9ES46
Q9HBE5	Q9JHX3
Q9Y5Y3	Q9EQQ4
Q8TAU0	P97334
Q4G0F5	Q8C0E2
P08567	Q9JHK5
Q6VVB1	Q8BR37
Q8N4Q0	Q8BGC4
Q6UX72	Q8VI16
Q9Y376	Q06138
Q99679	Q8BX79
Q9BRQ8	Q8BUE4
Q9UHD1	Q9D1P4
O15547	O54803
P14091	P70269
Q6PI47	E0CZ26
A2A288	Q8BIY3
Q8IYX7	B1AXP3
P40200	Q3U0X8
A6NGN9	Q8HW98
P49683	Q6VMN6
Q7L5A8	Q5MPP0
P53602	Q99JF5
Q13336	Q8VHL0
P36959	Q9DCZ1
Q8N3Z0	Q8C0F9
Q8NFZ5	Q99JG7
Q9NX46	Q8CG72
Q9GZT9	Q91YE3
Q9NZQ9	Q9JLH8
Q9UKP3	Q9R000
Q86WB7	B2RWK3
Q86WB7	Q710D3
C9JE40	A2ARM1
F5H626	E9Q295
O43255	Q06986
P52799	P52800
Q68G74	O35652
Q96N19	Q80ZU9
Q86W33	Q99MU1
Q9BQS2	Q8C6N3
Q8TCJ0	Q9D2Y6
Q9NUG4	Q8VCC6
Q9NV96	Q8VEK0
Q9NYB0	Q91VL8
Q9UN42	Q99ME6
Q9NS91	Q9QXK2
O95343	Q62233
P07098	Q9CPP7
Q7Z6G3	Q91ZP9
Q96LZ7	Q8BSE0
Q14320	Q9WV03
Q8N3I7	Q9CZQ9
Q9BSE2	Q9D709
Q9NPC1	Q9JJL9
Q8WXU2	Q8R368
Q8WXU2	E9PYU5
Q9GZX3	Q9QUP4
Q9GZS9	Q9QUP4
A0PK00	Q3TA38
P23511	P23708
P34995	P35375
P53611	P53612
P52564	P70236
Q32MZ4	Q3UZ39
Q6YI46	Q3U145
Q14376	Q8R059
Q99853	Q64732
Q9NV79	Q8BHD8
Q9NSC7	Q9QZ39
Q8TCE6	Q9D8N2
Q6NSW5	Q9D8N2
P07359	O35930
P63244	P68040
Q9H1X3	A2ALW5
O95455	Q8VDR7
Q8TAK5	P81069
Q8NDH6	Q3TY65
Q8N9L9	Q8BWN8
Q9HCN4	Q8VCE2
O94766	P58158
Q6MZQ0	A2AVJ5
P47974	P23949
P51679	P51680
O95810	Q63918
O95684	Q66JX5
P67809	P62960
Q14549	P82976
Q00532	Q8CEQ0
P49770	Q99LD9
Q96PZ2	Q9D2L9
Q9BYV8	Q99NF3
Q96EB1	Q9ER73
Q9BTX7	Q9D3D0
Q9NP92	Q9D0G0
Q9H2Z4	Q9EQM3
Q9H814	Q9JJT9
Q9H6S1	Q9QYP6
Q9NSB8	Q9QWW1
Q9Y3Q8	Q9EQN3
P00326	P00329
P00325	P00329
P07327	P00329
P15086	B2RS76
P00480	P11725
Q5T749	B2RUR4
Q6P1M9	Q3UZB0
Q9NXX6	G3XA30
O95264	Q9JHJ5
Q8IVB5	Q8BQ89
Q9NWQ8	Q3U1F9
Q9UNN4	Q8R4I4
Q9GZV7	Q9ESM3
Q9Y4X0	Q9JHT5
O15466	P70126
A2RTY3	Q5QNV8
P17275	P09450
Q5XKR4	O09113
Q96P56	A2ARP9
Q15435	Q3UM45
Q5U4P2	Q2TA57
Q15517	Q7TPC1
Q6P531	Q6PDE7
Q8WWU5	Q01755
Q8N228	Q80VG1
Q6P2M8	Q9QYK9
Q9BQ95	Q9QZH6
Q9NP66	Q9DC33
Q9UBY5	Q9EQ31
Q9NZR1	Q9JKK7
Q6XPS3	G5E8H5
P56180	G5E8H5
P00749	P06869
O15160	P52432
P78552	O09030
Q06609	Q08297
O00623	Q8VC48
P04196	Q9ESB3
Q8IXU6	Q7TML3
Q7L3S4	Q8BJ90
Q15049	Q8VHK5
Q86U17	Q8CIE0
P78412	Q9ER75
Q9P272	Q80WQ4
Q969F8	Q91V45
Q9HAT1	Q8VCD3
Q969X2	Q9JM95
Q99500	Q9Z0U9
Q9HC52	Q9QXV1
P30679	P30678
P53539	P13346
Q8N7R7	D3YUJ3
Q5PSV4	Q3U1T3
Q86VZ4	Q8CB67
Q9Y5Q3	P54841
Q99527	Q8BMP4
Q8TEW6	Q99KE3
Q9H2S6	Q9EP64
Q9NX62	Q80V26
Q9NX62	Q9Z0S1
Q5T2D3	B1AZ99
P62714	P62715
P78545	Q3UPW2
Q6UX15	Q8C351
Q6NTF9	Q8VEK2
Q15417	Q9DAW9
Q969W8	Q8VCI1
Q96BN2	Q99LM9
Q9NZT2	Q99PG2
Q9UHR6	Q9QY66
P07355	P07356
A6NMY6	P07356
O75493	O70354
Q6ZNE9	Q3TYX8
Q86VW1	Q497L8
Q9NYG8	O88454
P35900	Q9D312
Q5VZB9	Q8CFG4
Q86VE0	Q8R4U1
Q8TBH0	Q9D668
Q9NZL9	Q99LB6
Q9UBE0	Q9R1T2
Q9Y2T7	Q9Z2C8
P16220	Q01147
P50616	Q61471
Q9UKB5	A2ALI5
O75752	Q920V1
Q6J9G0	Q6J9G1
Q5SYC1	Q8BG92
Q8WVF1	Q8BHW2
Q8N2R0	Q91ZD1
Q8WUS8	Q9D665
Q9BYT3	Q924X7
Q9Y3S2	Q922H9
Q9Y576	Q9WV74
O75436	P40336
P05155	P97290
P49639	P09022
P43088	P43117
P35716	Q7M6Y2
Q14565	Q61880
P06746	Q8K409
P43657	Q8BMC0
Q15699	Q8C8B0
Q00325	Q8VEM8
Q12893	Q9WUH1
Q8TBN0	Q8VDV3
Q9H4P4	Q8BH75
Q9NXS2	Q8BH73
Q86YD3	Q9DCF1
Q9H9S4	Q9DB16
P35453	P70217
Q8IU99	D3Z291
P67775	P63330
O15504	Q8CIC2
Q2M2I3	Q80XS7
P35249	Q99J62
Q96BN8	Q3UCV8
Q8ND71	Q75N62
Q9H2G9	Q8R2X8
Q96FK6	Q9D0R9
Q9H228	Q91X56
Q9UBN1	Q9JJV4
O60269	D3Z1D7
Q5T1N1	E9Q8N6
P32249	Q3U6B2
O75363	Q80YN3
Q9H4K7	A2AFK4
Q14532	Q62168
O95801	Q8R3H9
Q8TBF8	Q3UXZ6
Q8TAD8	Q8BIZ6
P51686	Q9WUT7
Q96DB2	Q91WA3
Q99487	Q8VDG7
Q8NE79	Q9ES83
Q9H2M3	Q91WS4
P08397	P22907
P05455	P32067
P35226	P25916
P61073	P70658
Q13247	Q3TWW8
O43488	Q8CG76
O75477	Q91X78
Q01459	Q8R242
Q8IVH4	Q8C7H1
Q8NBP5	Q8C0T7
Q9NP85	Q91X05
P07195	P16125
P47211	P56479
P18428	Q61805
Q15717	P70372
O75794	Q8CII2
O75818	Q8R1F9
Q86XD5	Q3TY60
Q86YV6	Q5SUV5
Q6TCH7	Q6TCG8
O43597	Q9QXV8
Q9BRK5	Q61112
Q96CX2	Q6WVG3
Q8NCY6	Q91YU3
Q969V5	Q8VCM5
Q8N5B7	Q9D6K9
O00767	Q99PL7
O00767	P13516
O00767	P13011
A6NDB9	A2TJV2
O00180	O08581
O43852	O35887
O60931	P57757
O43915	P97946
P30518	O88721
P40121	P24452
Q8N336	Q3V1U8
Q969Q1	Q38HM4
Q9H0V9	P59481
Q15555	Q8R001
Q13227	Q921N8
Q9NWK9	Q3UFB2
Q9BW91	Q8BVU5
Q9BXY5	Q8BUG5
Q8TD22	Q925N0
Q9BV23	Q8R2Y0
A4D126	Q5RJG7
Q96MB7	Q8BR93
Q96H72	Q8BZH0
Q9H0Q0	Q8BHZ0
Q9NRA1	Q8CI19
Q9GZM8	Q9ERR1
Q32P51	P49312
Q32P51	J3QK72
O00170	O08915
O14828	O35609
P21757	P30204
P49441	P49442
P36402	Q00417
Q7Z5V6	Q148A4
Q96PL2	O08524
O75821	Q9Z1D1
Q6NVY1	Q8QZS1
Q8NDV2	Q8BZA7
Q7Z6M1	Q8VCH5
Q01664	Q9JIZ5
Q9BYG0	Q8BGY6
Q9BYS8	Q8VDB8
Q9NWY4	Q8CFE2
Q96EM0	Q9CXA2
Q9H147	Q99LB0
Q9H790	Q9CXP9
Q9Y2Y4	Q9JKD9
O60902	P70390
Q96L50	D3YY91
Q9NQR1	Q2YDW7
Q9UBV7	Q8R087
Q9NUQ9	Q921M7
P20042	Q99L45
P20042	J3QPC6
P05120	P12388
P08727	P19001
P31277	P23813
P26022	P48759
Q14790	O89110
O94905	Q8BFZ9
Q15293	Q05186
Q5JU67	Q0VFX2
P15309	Q8CE08
O00743	Q9CQR6
Q63HM9	Q8BLJ3
O14908	Q9Z0G0
Q9BZE3	P63157
Q96LX7	Q8CE13
Q9GZQ4	Q8BZ39
Q7Z429	Q9ESF4
Q8WWB7	Q9JHJ3
Q9UJ70	Q9QZ08
P03905	P03911
O75333	Q810F8
P38567	Q812F3
Q15109	Q62151
Q15165	Q62086
O00303	Q9DCH4
Q6UXN9	Q8BFQ4
Q8WWN9	Q5DU31
Q9Y698	O88602
P38571	Q9Z0M5
Q8IVD9	Q8R1N4
P53597	Q9WUM5
Q8TC94	Q8CG27
Q9NPF4	Q8BWU5
Q9H672	Q91ZU0
Q9BZJ4	Q9D8K8
Q9H813	Q9D771
Q9P0Z9	Q9D826
P40925	P14152
P47898	P30966
P51810	P70259
Q5W0U4	Q80YW5
Q6DCA0	Q8JZZ6
Q8NDY3	Q8BGK2
Q8N8N7	Q8VDQ1
Q9H0U3	Q9CQY5
Q9H1A3	Q9EPL4
P13995	P18155
O60383	Q07105
P40926	P08249
Q00577	P42669
P0DKB5	Q8C013
Q86V86	P58750
Q9UBW5	D3Z6Q9
P35250	Q9WUK4
Q9H6J7	Q8BHR8
Q9BQA1	Q99J09
Q9Y234	Q8VCM4
Q9NT62	Q9CPX6
Q9Y5K5	Q9WUP7
O14965	P97477
P14151	P18337
P48745	Q64299
Q9NTN3	A2AKQ0
Q00G26	Q8BVZ1
Q8NB91	Q5XJY6
Q99697	P97474
Q9UKL4	O54851
Q15545	Q9R1C0
Q8NFH4	Q9CWU9
P00156	P00158
P13945	P25962
A6NEQ2	Q80VF6
Q8NHH1	A4Q9F4
Q9GZN6	J3QMA5
Q7L1S5	Q76EC5
Q13190	Q8K1E0
Q9BUA3	Q05AH6
O75618	Q9Z1L3
Q96QI5	Q5GFD5
Q96A29	Q8BLX4
Q9H6L5	Q8VE91
Q9NR56	Q9JKP5
Q9Y4I5	Q9WTJ6
O60609	O35118
Q07687	P40764
Q99946	O35449
Q15070	Q8BGA9
O60664	Q9DBG5
O75695	Q9EPK2
Q2TAL6	Q8C8N3
Q96ER9	Q3URS9
Q5VZF2	Q8C181
Q8IYA7	Q8BIA3
Q8TBJ4	Q8BFZ2
Q96D15	Q8BH97
Q15599	Q9JHL1
Q5VSY0	Q9JMB0
Q9H7L9	Q8BR65
Q9NX94	Q8BGW2
Q9H3K2	Q91VC9
Q9H788	Q9D7V1
Q9NQR9	Q9Z186
O00757	P70695
P31314	P43345
P55318	P35584
Q7L0Y3	Q3UFY8
O95218	Q9R020
Q96ES6	Q5U419
P16989	Q9JKB3
Q96C23	Q8K157
Q9NXH8	Q8BH02
Q9BXW7	Q91WM2
Q9BWT1	Q9D0M2
Q9NPB6	Q9Z101
O15375	G5E8K6
P49682	O88410
Q2T9K0	E9Q4M0
P30411	P32299
Q6PIY5	E9Q963
B2RXF5	Q811H0
P60510	P97470
P16260	Q8C0K5
Q8NG04	Q5EBI0
Q9BWX5	P97489
P40937	Q9D0F6
O95258	Q9Z2B2
Q7Z5B4	Q8BPM6
Q9Y256	P57791
Q6PCB6	Q8VCV1
Q8N357	Q8VE96
Q9NYA1	Q8CI15
Q9NXK6	Q9DCU0
Q9NRD0	Q9QZN3
Q9UJ55	Q9QZ04
Q9Y5R6	Q9QZ59
P06127	P13379
O00628	P97865
O95136	P52592
P32302	Q04683
Q96RI8	Q5QD13
Q8WVY7	Q8BGR9
Q92552	Q8BK72
Q96MH6	Q9D850
Q9NZ01	Q9CY27
P05412	P05627
P05543	P61939
Q7L5N1	O88545
Q6XPR3	P97347
O43502	Q924H5
P55211	Q8C3Q9
Q03426	Q9R008
Q8TDX5	Q8R519
Q9BUU2	Q8R1C6
Q8TC84	Q9DAM9
Q9GZT8	Q9EQ80
Q9NYL9	Q9JHJ0
O95389	D3Z5L9
Q6UY01	F6VYM1
Q86UG4	J3QNA4
Q15257	P58389
Q5SQQ9	Q2NKI2
Q00534	Q64261
Q96HL8	O08641
Q7RTV3	Q0VDT2
Q99453	O35690
A6NJ78	Q9DCL4
O95825	Q921W4
Q5HYJ1	Q8BFZ1
Q96FZ2	Q8R1M0
Q8NA23	Q9JHB4
Q9NS23	Q99MK9
Q9BVH7	Q9QYJ1
O75386	O88413
Q14916	Q61983
Q8WWL7	Q810T2
Q15738	Q9R1J0
Q8TDY3	Q9D9L5
Q8WTU0	Q9DAF3
Q9H1D9	Q921X6
Q9NXF8	Q91WU6
Q96DX7	Q9QXA7
Q9NQG5	Q9CSU0
A6NHX0	Q8CAB8
A6NNH0	Q8CAB8
A8K0R7	E9PUU5
P05121	P22777
O43827	Q8R1Q3
O95400	Q9CWK3
O75526	Q9DAE2
O60359	Q9JJV5
P37837	Q93092
O14979	Q9Z130
Q5W5X9	Q8CHY7
P14550	Q9JII6
Q96RI9	Q5QD04
Q8N474	Q8C4U3
Q86SQ9	Q99KU1
Q8NEP3	Q9D2H9
Q9UJZ1	Q99JB2
Q99638	Q9Z0F6
P04406	P16858
P04406	M0QWZ0
P04406	D3YU05
P41440	P41438
Q92858	P48985
Q96BW5	Q60866
Q8IWX5	Q810K3
Q8NFJ8	Q8C6A8
Q8IYK8	Q8VEL9
Q8WWX0	Q9D1A4
Q9BRT8	Q8VEH6
Q8IUF1	Q8VEH6
Q5JTY5	Q8VEH6
Q5RIA9	Q8VEH6
Q4V339	Q8VEH6
P48431	P48432
Q13829	O70479
P78337	P70314
Q4W4Y0	Q4KL13
Q6UX07	Q5SS80
O95847	Q9D6D0
O95977	Q9Z0L1
P60891	Q9D7G0
Q9BUM1	Q6NSQ9
Q13516	Q9EQW6
Q8TCX1	Q8K0T2
Q9NYG2	Q8R173
Q9UK55	Q8R121
Q9NYZ2	Q920G8
Q9NUQ2	Q9D1E8
Q86UC2	Q3UFY4
Q86UC2	Q9DA80
O43603	O88854
P03999	P51491
P32245	P56450
P54922	P54923
Q00403	P62915
P51946	Q61458
Q6TCH4	Q6TCG5
Q8IXQ4	Q69ZC8
O75569	Q9WTX2
Q6PCB0	Q8R2Z5
Q15777	Q9CZJ0
Q7L5D6	Q9D1H7
Q96FI4	Q8K4Q6
Q9H8K7	Q9D2Q3
P21549	O35423
Q16589	O08918
Q03060	P27699
O95859	Q8BKT6
Q00796	Q64442
Q8NAA5	Q7TSF4
Q9BXA7	Q61241
Q02094	Q9QUT0
Q96NY7	Q8BHB9
Q9BY76	Q9Z1P8
Q9UBP5	Q9QUS4
O75610	P57785
O75610	Q64280
O00292	P57785
O00292	Q64280
O43903	P11862
Q13630	P23591
P08247	Q62277
A6NFY4	Q8CB65
P51843	Q61066
P46108	Q64010
Q8N9B4	Q3V096
Q8NAV1	Q4FK66
Q7L523	Q80X95
Q9Y266	O35685
O75829	Q9Z1F6
Q9H7P6	Q6KAU4
Q6UB28	Q9CPW9
Q9BR26	Q9D611
P00338	P06151
Q6ZT52	A2AM80
P47775	P35412
O15541	Q8R3P8
P83369	Q8BUV6
Q8NCE0	Q6P7W5
Q9NWD8	Q3TBN1
Q8NFQ8	Q8BYU6
Q5T4F7	Q9WU66
Q9BXS4	Q9QY73
O00487	O35593
O15370	Q04890
Q9C009	O70220
Q9NSI8	P57725
Q8NHS2	Q7TSV6
Q96BI1	Q78KK3
Q3LIE5	Q99KS6
Q8WZ19	Q8BGV7
Q9P1P5	Q5QD17
Q86SQ3	Q91ZE5
Q9BZW4	Q8R1J1
Q96DP5	Q9D799
Q9NXK8	Q9EPX5
O00515	P57016
Q6ZUT6	A3KGF9
Q0GE19	Q5PT53
Q67FW5	Q3U129
Q6ZSA7	Q3UY51
O76003	Q9CQM9
Q32ZL2	Q8BJ52
Q8N8W4	Q3V1D5
Q9H6B9	Q3V1F8
Q8TB92	Q8JZS7
O43248	P31313
O75764	P23881
Q15697	B9EJW5
P46089	P35413
O15204	Q9R0X2
Q7RTP0	Q8BHK1
Q8N7B9	Q80X60
Q7Z5S9	Q8VEH0
Q96E29	Q8R3J4
Q9Y2C4	Q8C163
Q63ZE4	Q8VCA0
Q63ZE4	Q91WJ2
Q63ZE4	Q96LX3
Q63ZE4	B2RT89
Q63ZE4	Q76M72
Q63ZE4	Q8BWG6
Q6T423	Q8VCA0
Q6T423	Q91WJ2
Q6T423	Q96LX3
Q6T423	B2RT89
Q6T423	Q76M72
Q6T423	Q8BWG6
P78383	P97858
P78383	Q91ZN5
P78383	Q922Q5
P30740	Q9D154
P30740	Q8VHP7
O14717	O55055
P27695	P28352
P30542	Q60612
Q13304	Q6NS65
Q92890	P70362
Q92765	P97401
Q5JS37	Q8CCH2
Q96Q45	Q3V0J1
Q9BXC1	Q3U507
Q6QHC5	Q8R2F2
P82933	Q9D7N3
P46092	Q9JL21
Q14106	Q9JM55
Q8TAV0	Q922G2
Q7Z5U6	Q9DB94
Q9BYE7	Q99NA9
Q9NZD8	Q9CQC8
P00813	P03958
P20062	O88968
P17542	P22091
P51665	P26516
Q4AC99	Q3UX83
Q8NEP7	Q3USL1
Q2M329	Q9CR92
Q9BZQ4	Q8BNJ3
Q969M1	Q9CZR3
Q9BRX9	Q9DAJ4
Q9P104	Q91ZM9
Q9Y5Z9	Q9DC60
B2RXF0	B9EJI9
A8MV65	P85442
Q9H2S5	A2RT81
O14657	Q9ER41
P13804	Q99LC5
Q5JXM2	Q8CCB5
P48556	Q9CX56
Q9NUU6	Q3TVP5
Q8NFQ5	Q8BU51
Q9H9B4	Q99JR1
Q9NPB9	Q924I3
Q9HC98	Q9ES70
O60938	O35367
A2RU30	Q3U132
Q3ZCV2	A2AVQ5
P35212	P28235
P50222	P32443
Q86WS4	F8VQ66
O14656	Q9ER39
P11908	Q9CS42
Q8N0Z2	Q8BUZ1
Q9BTD3	Q80XA0
Q969S0	Q8CIA5
Q9C0J9	Q99PV5
Q9UJ04	Q8VD63
Q9NW38	Q9CR14
Q9NZC3	Q9JL56
Q01860	P20263
Q06416	P20263
O14804	Q5QD14
P43116	Q62053
Q10586	Q60925
Q9BXK5	P59017
Q8N3G9	Q6NXM3
P50876	Q925F3
Q5VVQ6	Q8CB27
