Q7TQD2;O94811
Q8R507;O75072
Q8VCG4;P07360
O88704;O60741
Q9QY15;Q9UHL0
Q9DBT4;Q9Y227
Q9JHI2;Q9BUB4
Q8R143;P53801
Q9WVL5;Q86VD1
Q80VJ2;Q9HD15
Q8BG16;Q9H2J7
Q9Z0J0;P61916
Q8BNY6;P62166
P29812;P40126
Q64505;P22680
Q3UP23;Q6ZUK4
Q922R0;P51817
P97325;Q11203
Q64726;P25311
Q91W96;Q9UJX5
Q9DCT8;P52943
Q9QZ67;O15297
Q93092;P37837
Q61006;O15146
P35330;P13598
Q01102;P16109
P57791;Q9Y256
Q9WVI9;Q9UQF2
Q8VDK1;Q86X76
P0C7A3;Q96T53
Q9Z0Y7;O14654
B2RXM4;Q5VVY1
P04187;P10144
Q8CGR5;Q9P0G3
Q3UHJ8;Q7L0R7
Q9ERH7;Q9H422
Q9QYS2;Q14832
Q9CX53;Q8WXD5
Q8BW10;Q9ULX3
P60755;Q7Z553
Q7M759;Q5VST6
P43135;P24468
P51612;Q01831
Q8VI84;Q8WTT2
O54692;O43264
O54824;Q14005
Q9DCN2;P00387
Q8K5C0;Q6ISB3
Q52KI8;Q8IYB3
Q8R3B1;P51178
Q3ULM6;Q5W0Q7
O35526;Q16623
Q78ZA7;Q99733
O70460;Q99731
P54751;Q11201
Q8C2B3;Q8WUI4
O35683;O15239
Q8R459;Q8WWZ1
P43120;Q03014
Q8CE47;Q6UXD7
Q9CR10;Q5BKU9
Q3U5F4;Q86U90
Q5SSH8;Q8WUJ1
Q6PE65;Q9NWQ4
B1AWJ5;A6NDV4
Q5HZH2;Q9UJK0
Q9WUE4;Q8WTW4
P22389;P20800
Q8CIP4;Q96L34
Q5SFM8;Q9P2N5
Q9JHD1;Q92831
P60894;P60893
Q920S3;Q8WUU5
Q66L44;Q8N350
Q80WV3;Q9Y4C5
Q5QR91;Q8N4C9
Q91WS7;Q96QD5
P33435;P45452
Q8BM65;Q9P242
Q80U56;Q8NBF6
Q8BHL5;Q96JJ3
Q8C996;Q8TC26
Q91XF0;Q9NVS9
O70582;O75342
Q5SUQ9;Q2NKJ3
P20782;Q04844
Q6YGZ1;Q9Y251
P31266;Q06330
Q6ZQ06;Q5TB80
Q9R0T8;Q14164
Q9JI39;Q9NRK6
A2AJL3;Q96C11
Q8K135;Q8IZA0
Q5U4C3;Q9H7N4
P01101;P01100
Q8HWB0;Q95460
Q8VDB8;Q9BYS8
P09838;P04053
A2ACJ2;Q0VG06
Q8R0C0;Q9BT43
Q8K4B4;Q5VWK5
Q8R3K3;Q8WV60
Q922J9;Q8WVX9
Q91UZ5;O14732
P48986;Q96NK8
Q5EBP3;Q96C12
Q6PCP7;Q8NFN8
Q99M80;O14522
Q7TPV2;Q86Y13
Q9Z1M4;Q9UBS0
Q9DCS9;O96000
Q78IK4;Q6UXV4
Q8R116;Q6P988
Q9D7J6;P49184
A2ASZ8;Q6KCM7
Q8BWG9;Q96D31
Q8K0X8;Q99689
Q9D385;Q9Y2Y0
A1L0T3;Q8WTU2
Q8BWU8;Q8TBG4
P0CG49;P0CG47
Q9DBT9;Q9UI17
O35054;O14493
Q9WTJ4;Q96SL8
P68254;P27348
Q9QZ03;Q9NY26
Q9Z2W1;O00506
Q8VHC5;P57796
O54784;O43293
O35177;Q14511
A2AE42;Q8N8Q1
Q60803;Q13114
O35400;O00204
Q9JJJ3;O43315
P20693;P06734
Q3TSG4;Q6P6C2
Q99N69;O60711
Q80Z37;Q9NS56
O09117;Q16563
Q60860;Q16873
P14602;P04792
Q03526;Q08881
Q7TNB8;Q9Y2G9
Q5SSZ7;Q9ULT6
P10629;P09630
Q8CAF4;Q5SYE7
Q8BFT9;Q8N4V2
Q9D0K2;P55809
Q8BKT8;Q99871
O54782;Q9Y2E5
Q8BWY7;Q8N1S5
Q80ZJ6;Q7Z7L7
Q6IFX4;Q6A163
P16054;Q02156
Q8VCZ6;Q96HU1
Q9CXH7;Q5FBB7
Q8CGA0;P49593
P62843;P62841
P55849;Q08554
Q3UU96;Q5VT25
O35316;P31641
Q5ND52;Q9HC36
Q5SRY7;Q9UKB1
Q8VBT2;P20132
Q8CG50;Q86YS6
Q8CIV8;Q15813
Q9D0U6;Q9H063
Q8BGB2;Q9ULT0
Q62393;P55327
Q60710;Q9Y3Z3
Q8BIV7;Q9Y2W3
Q9CYH5;Q3B7J2
Q8K299;Q6ZMJ2
O35690;Q99453
Q3TAE8;Q9Y672
Q6P1B3;Q8IYJ0
Q6P1Z5;Q9H1Q7
Q6GSS7;Q6FI13
Q6P3D7;Q8N5J4
Q8C966;Q96EK2
Q8R1X6;Q8N0X7
Q9Z0V7;O60830
P47934;P43155
Q9Z1Y4;Q15654
Q8C080;P57768
Q8R4Y0;Q96LA6
Q8BPB5;Q12805
Q9Z0X4;Q14432
Q61324;Q9HBZ2
Q8BYW9;Q5NDL2
Q6DFV7;Q8NI08
Q99ME7;O60806
Q7TMB8;Q7L576
Q91X86;Q9Y2Y6
Q8BGN2;Q8N1A6
Q91XQ5;Q7LFX5
Q8BGF6;Q8IZ81
Q0VBB0;Q8N945
Q9D9D5;Q8N6Q1
Q5FW53;A2RUH7
Q9CQH3;O43674
Q8BPY9;Q6PIW4
Q8BMG8;Q9H2D1
Q9CPT0;Q9BZR8
Q3TEW6;O95297
Q8R480;Q9BW27
Q8CB77;Q14241
Q8K1S7;Q8NCW0
Q9Z1X0;Q9Y4X3
O35664;P48551
Q3TDK6;Q9GZN7
Q8BY46;Q6ZN55
Q08890;P22304
Q8BXR9;Q9BZF3
Q3UZ18;Q659A1
Q8CGB3;Q9BZF9
P32115;O43316
P35396;Q03181
O35066;O14782
Q8K1G2;Q86UK5
Q9D0R2;P26639
A2AED3;Q5VTL7
Q8BGI3;O15503
P35505;P16930
Q8K120;Q14934
Q80XD1;P52757
D3Z6S9;Q7L0X2
Q8K2P6;Q8TAC1
Q8VDG5;Q9HAB8
Q8BGW5;Q96AH0
Q8C9B9;Q9BTC0
Q8C9M2;Q0P6D6
Q9D1P2;Q9H7Z6
P21658;P10767
Q9CQ37;Q9NPD8
Q9QYL7;Q9ULW3
Q9CXY9;Q92643
A7L9Z8;O75185
Q9CWT6;Q9NUL7
Q923J1;Q96QT4
Q3V140;Q8NEB7
P16406;Q07075
Q8R367;Q96A58
Q9DCL9;P22234
Q8K4Q8;Q5KU26
Q64FW2;Q6NUM9
Q7M756;Q6PEW0
Q9Z140;O95741
Q9D2H9;Q8NEP3
Q9CPV4;Q9HC38
P35456;Q03405
Q8C522;O94919
Q9CWV4;A2A368
Q8C1F4;Q8N6G5
Q3TQB2;Q96CU9
Q9WUC3;O94772
Q9D4K5;Q6J272
Q9DB70;Q8IVP5
Q18PE0;Q18PE1
Q6PDQ2;Q14839
Q9D2U5;Q9BRA0
Q8BH51;Q96I36
P56395;P00167
P70193;Q96JA1
Q9WUP7;Q9Y5K5
Q8VC33;Q96CM4
Q3URS3;A6NCL2
P60897;P60896
Q8BLG2;Q99677
Q8BZ39;Q9GZQ4
Q925E1;Q9NSN8
Q08624;P09017
Q80W71;Q96JA3
Q7TPZ8;P15085
Q63943;Q14814
Q9D0R9;Q96FK6
P51448;P35398
Q9CR40;Q9NXS3
Q8R395;Q9GZQ3
Q9D826;Q9P0Z9
P46638;Q15907
P60041;P61278
Q8BH98;Q6ZNC8
P80313;Q99832
Q61699;Q92598
Q710D3;Q86WB7
P51410;P32969
Q9JIX0;Q9NPA8
Q78JW9;O14562
Q8CFE2;Q9NWY4
Q91Y74;Q11206
Q8BVL9;Q96N16
Q920A0;Q9UBM4
Q61711;P21815
P13541;P11055
Q6XP49;Q8NEA6
Q91YJ3;Q9P016
Q8K440;O94911
Q8BFW7;Q93052
Q9Z101;Q9NPB6
O88312;O95994
Q9JHQ0;O76027
O89113;Q5VY09
Q69ZJ7;Q4ADV7
Q9QZI9;Q13530
Q9JM76;O15145
Q8CI17;Q8N8X9
Q9JKY0;Q92600
P47740;P51648
Q0VE82;Q9UBL6
Q91WL8;Q9NZC7
Q9JLR5;Q7RTU1
Q9DCV3;Q96PD7
Q8K0S5;Q86UN2
P23804;Q00987
Q3TTY5;P35908
Q17ST2;Q96RP8
Q9DC29;Q9NP58
Q6NZN1;Q5VV67
Q64442;Q00796
Q4VA36;Q86UT8
Q61171;P32119
Q9QXE0;Q9UJ83
Q61168;Q13571
Q9CQE2;A0PJW6
Q9D6N1;Q8N1Q1
Q8BZJ8;Q49A92
Q8BIA4;Q8N3Y1
Q99MH6;Q969G9
Q4KL18;Q8WVE6
Q64446;P35670
Q6P6L0;Q4L180
Q9D6X6;O95084
Q9D3H0;Q96HE8
Q8R2Q6;Q6NUS6
Q8K3W3;O15234
Q80XU3;Q9H1E3
Q9DCL2;Q9H5X1
P43029;Q7Z4P5
Q80Y44;Q13206
Q6ZQ18;Q9Y2G0
Q8C3W1;Q9H425
Q8BX57;Q7Z7A4
P61961;P61960
P97372;Q9UL46
P21614;P02774
Q2MKA5;P30532
Q9Z108;O95793
P81615;P55089
P35546;P07949
Q8VHI3;Q9Y2G5
Q923D5;Q9Y2W2
Q8BU51;Q8NFQ5
O88319;P30989
Q8JZM7;Q6P1J9
Q8BMA3;Q6P9H4
Q5HZK2;Q9GZP1
Q8C119;Q8TB73
Q64434;Q13882
P63042;Q9H169
Q99J21;Q9GZU1
Q8BWH0;Q9NVC3
P56812;O14737
Q14AT5;Q6IWH7
Q8BLB0;Q96NJ6
Q9QXT8;Q9Y2W7
Q8BHI9;Q8IY84
Q69ZC8;Q8IXQ4
Q61701;P26378
Q8CH72;Q13049
Q9CZR8;P43897
Q8BZM1;Q92990
Q9JM99;Q92954
P70397;P56179
Q8BM47;Q6ZWE6
Q8BVN0;Q5T0U0
Q9CYB0;O60858
Q8BMD8;Q6NUK1
Q8K3I4;Q8NFW9
Q9JLK7;Q9NZU7
Q9WUL5;Q9BQ51
Q9D8N6;Q96GY3
Q7TMM8;Q8N5Y8
Q80V26;Q9NX62
Q8K3G5;Q8IV63
Q8K071;A6NGB7
Q6PEV3;Q8TF74
Q9CQS4;Q96AG3
Q61139;Q16549
Q9ESJ7;Q5VVH5
Q922S8;Q99661
P17426;O95782
Q8BZ71;Q96MF2
Q8BNJ6;Q8NC67
Q7M6U3;Q8IWB6
Q9JIA1;O95970
Q9CXT8;O75439
Q80VL3;O43900
P25962;P13945
Q8VED8;Q6P444
Q9R0M1;P46094
Q8CIG0;Q5TB30
Q8R1Q9;Q9H477
Q8VE85;Q96N28
Q8BGG6;O75425
Q923D2;P30043
P97379;Q9UN86
Q80TL4;Q9UPV7
Q9QY84;Q9Y615
Q9D8Y7;Q6P589
O55038;O43927
Q9QXS1;Q15149
P48543;Q92806
Q3V0G7;Q5VVW2
Q80YW0;Q9UIA0
Q91VU1;Q9Y548
Q99MB7;Q8WVD5
Q91XB0;Q9NSU2
P24699;P13349
Q8VC65;Q8IXM6
Q1WG82;P0C6A0
Q99JH8;P24390
Q562D6;Q9BU70
A2A9T0;A7MCY6
Q9JKF6;Q15223
Q91ZR5;Q8NEC5
Q9WTU6;P45984
Q69Z38;Q9H792
P23927;P02511
Q9CXU0;Q9BTT4
P20029;P11021
Q91YI6;Q6PIY7
Q9DBX6;Q96SQ9
O09053;Q14191
Q9D2X8;Q96K31
P97823;O75608
Q80V53;Q8NCH0
Q8VBX4;Q9UJ71
Q8VC57;Q9NXV2
Q5DQR4;Q9Y2K9
O88410;P49682
B1AY10;Q12986
Q3U2I3;Q8N612
Q9D174;Q9UHA2
Q9D7B6;Q9UKU7
P62204;P62158
Q3U308;Q2VPK5
Q921W4;O95825
Q61739;P23229
O55028;O14874
Q5SZA1;O00624
Q80W00;Q96QC0
Q91VC7;Q96A00
Q8BQU7;Q96NL1
Q9QYB1;Q9Y696
Q80YS5;Q9C0I9
Q10738;P09237
Q8BM92;Q9ULB5
Q62313;O43493
Q9ERK0;P57078
P82350;Q16586
P97302;O14867
Q9DC22;Q58WW2
Q8BXZ1;Q96JJ7
Q3USB7;Q15111
A2AGT5;Q14008
Q71FD5;Q8NHG8
A2AIG8;Q96QU6
Q8BGH4;Q9H902
O54833;P19784
Q8K0S0;Q92561
Q69ZS0;Q9UPQ7
Q61749;Q9UI10
Q8R1F0;Q9UNZ5
O54950;P54619
Q9Z0R9;O95864
Q5RJI4;Q504Y2
Q9JJZ8;Q16281
Q8VEA4;Q8N4Q1
Q8VIF2;Q7Z5A4
Q9D3J8;Q6UX39
Q91VX9;Q9H0V1
Q6IQX7;Q8IZ52
P0C673;Q5DX21
Q6ZPU9;Q96EK5
Q60753;Q16619
Q9EST4;Q969U7
Q9DB16;Q9H9S4
Q9DB41;Q9H1K4
Q6PB97;Q6PCT2
Q66JT1;Q6NSJ5
Q61425;Q16836
Q571E4;P34059
Q3V009;Q13445
Q02738;Q9NTQ9
Q9EPK6;Q9H173
Q8CHT0;P30038
Q8BLM0;O95600
Q5FWI2;P47872
Q9Z282;Q9UNW8
Q9ERE8;Q9H1K6
Q8C156;Q15003
Q5QD14;O14804
Q91V88;Q6UXI9
Q8K419;P56470
P50149;P19087
Q3TDQ1;Q8TCJ2
Q8BK30;P56181
Q8K2F3;Q9NTK1
P97481;Q99814
P25799;P19838
P56203;P56202
Q7TSN6;Q8TDV0
O35904;O00329
Q9QZB7;Q9NZ32
Q00941;P15509
Q8BGA5;Q13601
A2RSX7;A2RUC4
Q149L6;Q8TBM8
Q64737;P22102
Q8R092;Q9BWL3
Q8C627;A6H8Z2
Q80WS1;Q9ULI2
Q8K0H1;Q96FL8
Q921I0;Q9P0S3
Q3V3K7;Q6ZNI0
Q56A07;O60939
Q6GQS1;Q9BV35
Q64735;Q2VPA4
Q8R4D1;Q9Y2E8
P59267;Q9UIJ5
Q8CHP8;A6NDG6
P60904;Q9H3Z4
Q8K4J6;Q969V6
Q9R1P4;P25786
P22725;P41221
Q810I0;Q86XT2
D3Z423;A8MTL3
P35639;P35638
P57724;P57723
Q6PCM2;Q9UL03
P58196;Q9NRQ2
Q02650;Q02548
Q9DAG9;Q9BWX1
Q61199;O95156
Q8K1A0;Q9NRN9
Q3U1V6;Q8IX04
O54931;Q9Y2D5
O88834;Q96IW2
Q9ESZ8;P78347
Q4FZG9;Q9NRX3
Q6P5G6;O94888
Q8CBA2;Q08AF3
Q811B5;P79522
Q9QZD5;P26374
Q9CQW5;P05162
P41155;Q06643
Q9D2Y5;Q7Z614
Q8R519;Q8TDX5
P50396;P31150
O09131;P78417
Q91YE7;P52756
P35378;P23945
Q9R1R0;Q9UPM6
Q99JR1;Q9H9B4
P48760;Q05932
O08800;P50452
Q9JMH7;Q9UQ49
P41233;O95477
Q3TIR3;Q9NPQ8
Q9D531;Q5VZ03
Q4FZC9;Q6ZMZ3
Q61477;P41271
Q8BVI5;O14662
Q80Y86;Q8TD08
O54714;Q9Y6X2
Q80XN0;Q02338
Q05921;Q05823
Q04887;P48436
Q80VP1;Q9Y6I3
P15066;P17535
Q61085;Q8TCX5
Q715T0;Q8N427
Q9WUV0;O43913
Q9D6F4;P48169
Q149S1;Q8WW24
Q8CIS0;Q9BXL7
Q91VK1;Q9Y6E2
Q60772;P42773
Q32MG2;Q8NA61
P51180;P30301
O35160;O75364
Q5RL79;Q8N6L1
P18155;P13995
Q9WVP9;P20591
O89032;Q5TCZ1
Q99J08;O76054
Q9DB77;P22695
Q9D1M7;Q9NYL4
Q60778;Q15653
P97414;P51787
Q9CQJ0;Q8N1Q8
Q99KK2;Q8NFW8
Q6PDX6;Q5VTB9
P70121;Q9UKY1
Q8CHS8;Q8NEZ2
O70481;Q8IWV7
P24604;P42680
Q33DR3;Q86YH6
Q91V51;O95922
Q60673;Q16849
Q9WUQ7;O95424
O70628;O76083
P62488;P62487
P97334;Q8TAU0
Q03350;P35442
Q91XA8;Q8IYD2
Q06219;P43354
Q9DC69;Q16795
Q9D915;Q9NR00
Q5U430;Q6ZT12
Q80UY2;Q9P0J7
Q99LC3;O95299
Q9CQ20;Q9NPA3
Q9JHR9;Q9BQI9
Q99KW3;Q9H2D6
Q99J39;O95822
Q8C3I9;Q9H7Y0
Q8BG54;Q9NUV7
Q9DBB8;Q9UQ10
Q8BYG9;Q5JZY3
Q9CRA8;Q9NQT4
Q8K2W3;Q6PKC3
Q9DAJ4;Q9BRX9
P50516;P38606
Q8BG47;Q8N8N0
Q9JHU3;Q8IZL9
Q8BJ52;Q32ZL2
Q2NKI2;Q5SQQ9
Q8BH48;Q9NZ09
Q9CZ15;Q14691
Q99MY8;Q9NR48
Q811J3;P48200
Q61193;O15211
Q9R1N9;Q5TAT6
P46412;P22352
Q8K114;Q9NV88
O70404;Q9BV40
P13405;P06400
P30280;P30279
P09023;P17509
Q9D0I8;Q9UKD2
Q61183;P51003
O88576;Q96N87
Q06194;P00451
P70378;Q92914
A2A6A1;Q9UKJ3
Q62000;P20774
Q9CRD4;Q8N2H4
O08644;O15197
A2A3V1;Q02040
A2BDX3;O95396
Q99L28;Q9UHA3
Q9R1C7;O75400
Q6ZPE2;O95248
P16045;P09382
Q5F201;Q8N1V2
Q7TPV4;Q9BQG0
P70700;Q9H9Y6
Q69ZK6;Q15652
Q9D727;Q5I0X4
Q3LAC4;Q70Z35
P56384;P48201
Q9D8K8;Q9BZJ4
Q80VI1;Q9BRZ2
Q8CDJ3;Q6ZNE5
Q9DCC3;Q8WV48
Q61249;P78318
Q91V27;Q9BV36
Q8CGM1;O60241
Q6VUP9;Q6VUC0
Q9D898;Q9BPX5
Q9JHC9;Q15723
P49764;P49763
P10637;P10636
P25322;P24385
Q9D9W0;Q9H0A9
Q7TNF8;O95153
Q8CCF0;Q8WWY3
P10605;P07858
Q8K2A1;Q9UBP9
Q8BZT5;Q9H756
Q8CI61;O95429
Q5SZV5;Q5VV43
Q3U0V2;Q15628
Q9CQ04;Q6N063
O35343;O00629
Q0ZCJ7;Q6ZN01
Q80W21;P28161
Q6PHZ8;Q6PIL6
Q99P69;Q9BZD4
Q99P86;Q9BQ08
Q8VCG3;Q6RFH5
Q9Z2A9;P36269
P56931;Q14209
Q80WB0;Q9BVV2
P58252;P13639
Q8K1J5;Q6IQ49
Q8R0Z5;Q96A46
A4Q9F1;A6PVC2
O35437;O43680
Q9D6B9;Q6UXD1
Q9CZ62;Q8IW35
P10085;P15172
O55017;Q00975
Q9DCM2;Q9Y2Q3
Q06831;Q06945
Q9R098;Q04756
Q6PDF3;Q8N434
Q9DBD5;Q8IZL8
P16627;P34931
Q9ES64;Q9Y6N9
Q5U4D9;Q86W42
A3KGW5;Q5T4B2
Q78PY7;Q7KZF4
A2AEY4;Q8IWC1
Q9CPY7;P28838
Q9ESN5;Q9BS16
Q8BVF9;Q400G9
Q61207;P07602
Q9CZH8;Q9BR77
Q3UVY1;Q86SP6
P31257;Q9NYD6
P62325;P62324
Q78WZ7;Q3B726
Q9DBU5;Q9Y252
Q3TYX2;Q8ND94
P10146;P22362
Q6P1G6;Q96KS9
Q8BZX4;Q8WXA9
Q8BT60;O75131
Q8BP48;P53582
Q7TPD7;Q2VPJ9
Q61474;O43347
Q8C2S7;Q86WK7
Q61166;Q15691
Q9ES82;Q9HBU9
Q8R0W5;Q5XG92
P51658;P37059
Q6NSQ7;Q96GA3
Q7TST5;Q9UQV4
P59114;Q9H4Z3
Q9CYW4;Q9BSH5
P70696;Q96A08
P14211;P27797
O55057;O43924
Q00417;P36402
Q9EQT6;Q7L8C5
Q9JJA7;Q96S94
P41209;Q12798
P15656;P12034
Q0P543;P48546
Q91W39;Q9HCD5
Q62172;Q15311
P55050;P12104
A2AQP0;A7E2Y1
Q9QUJ7;O60488
Q3TLP5;Q86YB7
O89013;O15243
Q9D844;Q9NNZ3
Q9DB28;Q969H6
Q99KJ0;P68543
Q9CQI6;Q14019
P58929;Q9UKD1
Q3UPE3;Q96E14
O70458;Q99650
P28843;P27487
Q99246;Q01668
Q9QX29;Q9UL62
Q8R2K8;Q8WWF1
Q3UZV7;A8MWY0
Q8BLJ3;Q63HM9
Q04750;P11387
Q6PG04;Q8N4S0
Q9JII5;Q96EP5
Q9CWH5;Q7Z4G4
P10810;P08571
Q8BG21;Q9UGQ2
Q8VHQ3;Q96T49
Q9JIL2;Q9NRJ3
P00186;P05177
Q8BWQ6;Q7Z3J2
Q9D1M0;P55735
O88329;Q9UBC5
Q62511;Q96JP5
Q8C817;Q86VY9
Q6PDC8;Q8N468
Q3UQA7;Q8IZQ5
Q68ED7;Q6UUV9
Q924A4;Q969E3
P39087;Q13002
P26443;P00367
Q99M87;Q96EY1
O35426;P17861
Q91V81;Q9BTD8
P27005;P05109
Q8C165;Q6GTS8
P08071;P02788
Q8BVP5;P78368
Q68FD5;Q00610
Q99K99;Q8IY42
Q8BH59;O75746
Q9D8X5;Q9UFF9
Q9Z185;Q9ULC6
Q9ER35;Q9H479
O09110;P46734
Q9WTR0;P51512
O55239;P40261
Q8BMG1;Q8WXE1
Q571F8;Q9UI32
Q61147;P00450
Q9CY64;P53004
O88796;P78346
Q9R0G7;O60315
Q8VCI5;P40855
O88196;P53804
Q7TSG3;Q9UKT4
Q7TT79;Q8NEM0
Q8VEI3;O43820
A2ADZ8;Q4KMZ1
Q8CJ96;Q8NHQ8
Q80YD6;Q9UGK8
P40336;O75436
Q8R1C9;O95704
P59470;Q9NW08
Q61586;Q9HCL2
P12382;P17858
P61219;P61218
Q62137;P52333
Q91ZD6;Q96CJ1
Q9CRT8;O43592
Q9QZL9;Q9UK85
P48771;P14406
Q9D0C1;Q9Y4L5
Q9ESN4;Q5VWW1
P49452;Q03188
Q80TS3;Q9HAR2
Q6PDZ2;Q15572
P28654;P07585
Q6IFZ6;Q7Z794
Q9QXV9;O43609
O35988;P31431
P08551;P07196
P97466;Q13253
Q7TN22;Q9P2K2
P70271;P50479
Q8BJI1;Q9H1V8
Q9ES90;Q9HC97
Q3TT99;Q6W3E5
Q9D9X8;Q8IXA5
Q3TMV7;Q8WU10
Q9CZL5;Q9H0N5
Q9ER58;Q92563
P21836;P22303
Q99PT9;Q2TAC6
Q8VDW0;O00148
Q6IEE6;Q6IEE7
Q61301;P26232
Q5SUR0;O15067
Q99L48;Q96D46
P00520;P00519
P06798;Q00056
Q8CG72;Q9NX46
Q9QYY1;Q9UBH0
Q3V1G4;Q68BL8
Q9D6V8;Q9BPZ3
Q9D8H7;Q96E52
O35486;P22914
P53569;Q03701
Q8K214;Q96GD3
Q5SWY8;A0PJK1
Q9CXE0;Q9NQX1
Q9DBB1;Q16828
Q9D3P8;Q9HBL7
Q8CFA7;Q5JT82
Q9DC40;Q9Y4R8
Q4FZF3;Q9Y6V7
Q3V1H3;Q6MZM0
O08710;P01266
Q3U213;Q96JX3
Q922B2;P14868
Q64012;Q9UKM9
Q9JJ06;Q9NS00
Q75N62;Q8ND71
P03925;P03923
Q61041;P50391
P08920;P06729
Q8BXA7;Q6ZVD8
Q9EQC5;Q96KG9
Q5DW34;Q9H9B1
P05784;P05783
Q9CQP8;Q9NTU4
Q9D0F9;P36871
Q9CQ07;Q8N456
O35565;O15520
Q9CZP0;Q6NVU6
Q9CZG9;Q5EBL8
Q8BUV6;P83369
P28661;Q8NEP4
O08917;O75955
Q0VBM2;Q5T0W9
P97310;P49736
Q8BPG6;Q8NBJ7
Q8CCX5;Q8N1A0
Q3UDE2;Q14166
Q8R1B5;Q8WVH0
Q60739;Q99933
P26618;P16234
Q5EBG8;Q9BV19
O70589;O14936
Q8BZ98;Q9UQ16
Q9D9B7;Q53SZ7
Q8BGV3;P09758
P47939;Q5W5W9
Q8K2T8;Q8N7H5
Q9JL60;Q9Y692
Q3TYE7;Q6ZRR5
Q8BGT5;Q8TD30
P70188;Q92845
Q8R3N1;P78316
Q8BG75;Q66K66
Q6NXY9;O15318
Q91W36;Q9Y6I4
Q91W78;Q9BQ65
Q91X85;Q9UPI3
Q9D0F1;O14777
Q6GU68;O14498
P37172;Q04771
Q8CIB6;Q96A57
O88910;Q13368
P59270;Q9NPZ5
Q9D9R9;A6NE01
Q61036;O75914
Q8CHZ8;Q6UYE1
Q8BUJ9;Q9Y561
P70404;P51553
P09079;P09067
Q64092;P19532
Q8BGZ4;Q9UJX2
Q6PFY9;O60729
Q9DAU1;Q9BT09
P18242;P07339
Q6IE21;Q7L8S5
Q9CY66;Q9NY12
Q505G8;Q17R98
Q8K2T4;Q6UW78
Q9JJ89;Q9H6F5
Q8VEN2;Q6UQ28
Q6IMF0;P78386
Q9R0A1;P51788
Q5STT6;Q8TC56
Q8BHN3;Q14697
Q9CQU1;P55081
Q8CCH2;Q5JS37
P97807;P07954
Q8C1Z7;Q96RK4
Q9D0N7;Q13112
Q99ML0;O75800
Q8R4W6;Q9UKZ9
Q8CDD8;Q7Z5Y7
Q3UYG8;A1Z1Q3
Q8BM96;Q96K78
Q9Z1K6;O95376
Q9CQV8;P31946
Q8CIM1;Q96CN5
P97358;Q53T94
Q8R2S9;Q9H981
Q9D8D0;Q96RJ3
Q60890;P58173
O70421;Q9UP38
Q80UK8;Q9H0H0
Q9CQ71;P35244
Q61164;P49711
Q60847;Q99715
B2RU80;P23467
Q9CWQ3;Q9Y6H3
Q07139;Q9H8V3
Q920M7;Q9BSW7
Q8BJQ9;Q8TDX6
Q9CZR2;Q9Y3Q0
Q5XFZ0;Q32NC0
P22935;P29373
Q8BPX9;Q8IY34
Q6NS82;Q8NC44
Q9CQV4;Q86VR2
Q8BNX1;Q6UXB4
Q9D9J8;Q9BQP9
P62835;P62834
Q9D9K3;Q9NQS1
O70491;Q9BX79
Q9JHS3;Q9Y2Q5
P82348;Q13326
P56716;P56715
Q9Z2J0;Q9UHI7
Q9D083;Q8NBT2
Q0KK56;Q9ULE4
P35584;P55318
Q60900;Q14576
P49194;P10745
Q8BHS3;Q9NW64
Q8BM15;Q6UXA7
Q9D8U8;Q9Y5X3
O89094;P31944
Q8C6C9;Q6P5S2
Q99PL5;Q9P2E9
Q8BFT6;Q9H9V9
Q8VDL4;Q9BRR6
Q9ERQ8;P43166
Q922D8;P11586
Q9QUM7;O43196
Q8BFU0;Q6UXX9
Q6DIB5;Q96KG7
Q9CZV5;O94864
Q8BXN7;Q8N3J5
Q8R2Q0;Q14134
P21995;Q6PCB8
Q9D164;Q9H0Q3
Q8C6M1;Q9Y2K6
Q8CFV9;Q969G6
Q9D4H9;O94880
P33609;P09884
O88427;O95180
P50540;P50539
P97352;Q99584
Q9D415;O14490
P49710;P14317
P31324;P31323
Q9D9P2;Q8IW40
Q62348;Q15631
P35412;P47775
O35701;O15232
Q8BZR9;Q53F19
Q9D7W5;Q96G25
Q8C008;Q9NVP4
B1AZP2;Q9Y2H0
Q99M03;P57060
O35623;O15155
Q02858;Q02763
Q8BGX7;Q14159
Q80V94;Q9UPM8
O35595;Q9Y6C5
P51660;P51659
Q9ER64;Q9H0X9
Q8C006;Q9UPQ4
Q925N0;Q8TD22
Q9DCZ4;Q9BUR5
Q8BJH1;Q96GY0
Q9DAU9;Q8IZM8
Q3UVG3;Q658Y4
P23738;P19113
O88174;P15529
P50462;P50461
Q9CQ40;Q13405
P35279;P20340
Q91YR5;Q8N6R0
Q9DAZ9;Q96K21
O09030;P78552
O55237;P32970
Q9D219;O00512
Q99N03;Q96PG2
Q9EP72;Q9NPA0
Q811I0;Q5TC12
Q505F1;P13056
Q3TX51;Q86X40
Q3UP87;P08246
Q921M3;Q15393
Q3U3V8;Q6P2D8
Q9CZX2;Q96ST8
Q8BKN5;Q96RT8
Q8BFV3;Q13115
Q61578;P22570
P49717;P33991
P63028;P13693
O35593;O00487
Q8CCB4;Q5VIR6
P43252;P43119
Q62245;Q07889
P22605;P10826
Q0ZLH2;Q0ZLH3
Q3UR70;Q8WUH2
Q8BX32;Q9BQ83
O55222;Q13418
